CS(=O)(=O)Cl.OCCCBr	CS(=O)(=O)OCCCBr
CN.ClCc1ccc(Cl)nc1Cl	CNCc1ccc(Cl)nc1Cl
CN.ClCCc1cccnc1	CNCCc1cccnc1
CCN.ClCc1ccc(Cl)nc1	CCNCc1ccc(Cl)nc1
CON.ClCc1cccnc1	CONCc1cccnc1
COC(=O)c1ccc(Cl)nc1	OCc1ccc(Cl)nc1
ClCc1ccc(Cl)nc1	ClCc1ccc(Cl)nc1
CCCN.ClCc1ccc(Cl)nc1	CCCNCc1ccc(Cl)nc1
ClCc1cccnc1Cl.O	OCc1cccnc1Cl
CN.Cc1ccc(CCl)cn1	CNCc1ccc(C)nc1
CN.Fc1ccc(CBr)cn1	CNCc1ccc(F)nc1
BrCc1ccc(Br)nc1.CN	CNCc1ccc(Br)nc1
C#N.C=Cc1ccccc1	CC(C#N)c1ccccc1
CCOC(=O)C(C)(C)O.F	CCOC(=O)C(C)(C)F
Cc1ccccc1CCC(=O)O	Cc1cccc2c1CCC2=O
BrBr.Oc1nccc2ccccc12	Oc1ncc(Br)c2ccccc12
C=CCc1cc(CO)ccc1O	CCCc1cc(CO)ccc1O
C=CCCl.COC(CN)OC	C=CCNCC(OC)OC
C#CCCO.C1=COCCC1	C#CCCOC1CCCCO1
CCOC(=O)CCC(F)(F)Cl	O=C(O)CCC(F)(F)Cl
ClCc1ccccc1.c1c[nH]cn1	c1ccc(Cn2ccnc2)cc1
BrCCCCBr.O=C1CCCN1	O=C1CCCN1CCCCBr
CC#N.CC(C)C[C@H](N)CO	COC[C@@H](N)CC(C)C
CC(C)CC=O.CCCC[Mg]Cl	CCCCC(O)CC(C)C
O=C(O)C=Cc1ccccc1Cl	O=C(O)CCc1ccccc1Cl
O=C(CCCl)c1ccc(Br)cc1	O=C1CCc2cc(Br)ccc21
CC(C)CN.O=C(Cl)CCl	CC(C)CNC(=O)CCl
OC1CCc2c(Br)cccc21	Brc1cccc2c1CC=C2
OC1Cc2cccc(Br)c2C1	OC1Cc2ccccc2C1
O=C1CCc2ccccc21	OC1CCc2ccccc21
N#Cc1cccc2c1CCC2=O	N#Cc1cccc2c1CCC2O
N#Cc1ccc2c(c1)CCC2=O	N#Cc1ccc2c(c1)CCC2O
C=CCc1cccc2c1CCC2=O	CCCc1cccc2c1CCC2=O
NOCc1ccccc1	NOCc1ccccc1
NCCc1cc2ccccc2[nH]1	NCCC1Cc2ccccc2N1
CC#Cc1ccccc1	CC=Cc1ccccc1
COC(CSc1ccc(F)cc1)OC	Fc1ccc2sccc2c1
Clc1cnc2ccccc2n1.[F-]	Fc1cnc2ccccc2n1
BrBr.Cc1ccc(B(O)O)cc1	OB(O)c1ccc(CBr)cc1
O=C(O)CCl.OCc1cccs1	O=C(O)COCc1cccs1
O=C(O)c1ccc(CBr)cc1	OCc1ccc(CBr)cc1
CCOC(=O)CC(C)=O	CC(=O)C1CCOC1=O
C=CCBr.OC1CCNCC1	C=CCN1CCC(O)CC1
CCCCCC(O)Cl.CCCCCCCS	CCCCCCCSCCCCCCO
Cc1ccccc1CO.[Li]CCCC	CCCCCc1ccccc1CO
CC(C)CO.O=P(Cl)(Cl)Cl	CC(C)COP(=O)(Cl)Cl
CC(C)(C)C1=NCC(O)CN1	CC(C)(C)C1=NCC(CN)O1
NC1CCCCC1.O=C=O	O=C=NC1CCCCC1
Nc1ccccc1.O=C=O	O=C=Nc1ccccc1
C=CCI.Cc1ccc(C=O)cc1	C=CCC(O)c1ccc(C)cc1
O=Cc1ccncc1.[Li]CC=C	C=CCC(O)c1ccncc1
NO.OCC12CCCN(CCC1)C2	ON=CC12CCCN(CCC1)C2
CCCC[PH](=O)OCC.CI	CCCCP(C)(=O)OCC
BrCC1CC1.CCO[PH](C)=O	CCOP(C)(=O)CC1CC1
CCCCCCCI.OC/C=C\CO	CCCCCCCOC/C=C\CO
Cc1ccc(N)c(C(=O)O)c1	Cc1ccc(N)c(CO)c1
NCC1(c2ccccc2)CC1	CC(C)(CN)C1CCCCC1
CC(=O)[O-].O=C1CCN1	CC(=O)OC1CC(=O)N1
OCc1cncc(Br)c1.[Br-]	BrCc1cncc(Br)c1
C=CCCC(C)(O)CC(=O)O	CC1=CCC2CC(=O)C12
NCCN.OCC(O)CCl	NCCNCC(O)CO
CCC1(CO)COC(C)(C)OC1	CCC(CO)(CO)CO
CCCC(=O)C=O.N=C(N)CN	CCCc1cnc(N)cn1
C=CC(N)=O.c1c[nH]cn1	NC(=O)CCn1ccnc1
O=C(O)CCCc1ccccc1	OCCCCc1ccccc1
Cc1ccccc1OCC(=O)O	Cc1ccccc1OCCO
O=C(O)CCCOc1ccccc1	OCCCCOc1ccccc1
COc1ccc(O)cc1.OCCCl	COc1ccc(OCCO)cc1
CC(Oc1ccccc1)C(=O)O	CC(CO)Oc1ccccc1
OCCCl.Oc1cccc(Cl)c1	OCCOc1cccc(Cl)c1
OCCCl.Oc1cccnc1	OCCOc1cccnc1
O=C(Cl)CCCOc1ccccc1	O=C1CCCOc2ccccc21
O=C1CCCOc2ccccc21	OC1CCCOc2ccccc21
OC1CCCOc2ccccc21	C1=Cc2ccccc2OCC1
Brc1nccs1.CNCCO	CN(CCO)c1nccs1
Clc1ncccn1.NCCO	OCCNc1ncccn1
Clc1nc2ccccc2o1.NCCO	OCCNc1nc2ccccc2o1
C#CCO.N#CCC(=O)O	C#CCOC(=O)CC#N
COC(C)(C)C=NO.[C-]#N	COC(C)(C)C(C#N)=NO
O=C(O)c1cccnc1C(=O)O	O=C(O)C1CCCNC1C(=O)O
CCOC(=O)CC(C)CCl.[I-]	CCOC(=O)CC(C)CI
CCOC(=O)CCCCl.[I-]	CCOC(=O)CCCI
COC(=O)[C@@H](N)C(C)C	COC(=O)[C@@H](N)C(C)C
BrCc1ccsc1.CC(C)=CCCl	CC(C)=CCCc1ccsc1
CC(C)=CCCc1ccsc1	CC(C)CCCc1ccsc1
CC(C)N.CCOC(=O)Cl	CCOC(=O)NC(C)C
CCOC(=O)NC(C)C.ClSCl	CCOC(=O)N(SCl)C(C)C
Brc1ccccn1.C#CCO	OCC#Cc1ccccn1
Cl.Oc1cc(Cl)c(Cl)cc1Cl	Oc1ccc(Cl)c(Cl)c1Cl
C#CC#C.c1ccccc1	C#CC#Cc1ccccc1
CC(C)(C)C1CCC(=O)CC1	CC(C)(C)C1CCC(O)CC1
CCCCCCCCCC(=O)OC	CCCCCCCCCCO
CCCCCCCCCC(=O)OC	CCCCCCCCCCO
CCCCCCCCCC(=O)OC	CCCCCCCCCCO
CCCCCCCCCC(=O)OC	CCCCCCCCCCO
O=C1CSCC(=O)NCCNCCN1	C1CNCCSCCNCCN1
C1CCC2CCCCC(C1)N2	C1CC2CC3CNC2CC13
Cc1ccc(Cl)nc1.ClCl	ClCc1ccc(Cl)nc1
Cc1ccc(Cl)cc1Cl.ClCl	ClCc1ccc(Cl)cc1Cl
Cc1ccc(Cl)cc1Cl.ClCl	ClCc1ccc(Cl)cc1Cl
OCCCCCO.OCCCCO	CCCCC=CC=CO
C1=COCCC1.OCCBr	BrCCOC1CCCCO1
N#C[Cu].Nc1ccc(Br)cc1F	N#Cc1ccc(N)c(F)c1
BrBr.Nc1c(F)cccc1F	Nc1c(F)cc(Br)cc1F
N.O=C(Cl)c1ccc(Br)cc1	NC(=O)c1ccc(Br)cc1
NC(=O)c1ccc(Br)cc1	N#Cc1ccc(Br)cc1
CC(=O)C1SCC(C)C1=O	CC(=O)c1scc(C)c1O
O=C(O)c1cscc1C(=O)O	O=C1OC(=O)c2cscc21
CCOC(=O)c1cn(C)nc1Cl	Cn1cc(C(=O)O)c(Cl)n1
COCOC.Oc1cccc(Br)c1	COCOc1cccc(Br)c1
CC(=O)N1CCC(=O)CC1	CC(=O)N1CCC(O)CC1
B1NBNBN1.CC#CC	CCC=CB1NBNBN1
CCC=O.COC(=O)C(O)OC	COC(=O)/C=C(/C)C=O
CCCCCCC=O.COC(=O)C=O	CCCCCC(C=O)=CC(=O)OC
CCOC(=O)C=Cc1ccccc1	OCC=Cc1ccccc1
CNC=O.OCCCCCCCCCCCBr	CN(C=O)CCCCCCCCCCCO
O=C1CCc2cccc(O)c21	Oc1cccc2c1CCC2
OCC(CO)(CO)C1CCC1	OCC1(C2CCC2)COC1
O=C(O)Cc1cccc(F)c1	OCCc1cccc(F)c1
CC(=O)[O-].O=C1CCN1	CC(=O)OC1CC(=O)N1
CC(=O)CC(C)=O.CCCBr	CCCCC(=O)CC(C)=O
CCO.Cl.Nc1ccc(O)cc1O	Oc1ccc2nc(CCl)oc2c1
N#Cc1ccc(CCO)cc1	NCc1ccc(CCO)cc1
N#Cc1ccc(CCO)nc1	C=Cc1ccc(C#N)cn1
CCOC(=O)C=O.NCCS	CCOC(=O)C1NCCS1
CCOc1csc(N)c1C#N	N#Cc1c(O)csc1N
CC(C)=CCC/C(C)=C/CO	CC(C)=CCCC(C)CCO
COC(=O)C=Cc1ccccc1	O=C(O)C=Cc1ccccc1
COC(=O)C=Cc1ccccc1	O=C(O)C=Cc1ccccc1
COC(=O)C=Cc1ccccc1	O=C(O)C=Cc1ccccc1
Nc1ccccc1Br.c1ccccc1	Brc1ccccc1-c1ccccc1
II.O=C1CCCc2ccccc2N1	O=C1Nc2ccccc2CCC1I
Cc1ccc(N)cc1Br.[I-]	Cc1ccc(I)cc1Br
COCCN.O=C(Cl)CCl	COCCNC(=O)CCl
CCCN.O=Cc1ccc(Br)cc1	CCCNCc1ccc(Br)cc1
C1COCCO1.CC[O-].NCCN	c1cc(C2CNCCN2)co1
CC(=O)C=Cc1ccccc1	CC(O)C=Cc1ccccc1
COC(=O)C=Cc1ccncc1	COC(=O)CCc1ccncc1
C=CC(=O)OC.SCc1cccs1	COC(=O)CCSCc1cccs1
CCCC(CCC)CCCBr	C=CCC(CCC)CCC
CCCCCCCN.O=C1CCCCO1	CCCCCCCNC(=O)CCCCO
O=C1CC2CCCC2O1	OC1CC2CCCC2O1
CC(C)=Cc1cccc(C#N)c1	CC(C)Cc1cccc(C#N)c1
COC(=O)c1ccc(C)nc1	Cc1ccc(CO)cn1
CN.Cc1ccc(CCl)cn1	CNCc1ccc(C)nc1
Cc1nnc(S)s1.ClCBr	Cc1nnc(SCCl)s1
ClCBr.Cn1nnnc1S	Cn1nnnc1SCCl
Cn1cnc(SCCl)n1.[I-]	Cn1cnc(SCI)n1
Cn1ncnc1SCCl.[I-]	Cn1ncnc1SCI
Cc1nnc(SCCl)s1.[I-]	Cc1nnc(SCI)s1
Cn1nnnc1SCCl.[I-]	Cn1nnnc1SCI
Cn1nnc(SCCl)n1.[I-]	Cn1nnc(SCI)n1
CCOC(=O)C1CCCC1=O	CCOC(=O)C1CCCC1O
CCO/C=C/n1ncc(C)c1N	Cc1cnn2cc[nH]c12
NCCCC[C@H](N)C(=O)O	NCCCC[C@H](N)C(=O)O
CCNCC.O=C(Cl)CCCCCBr	CCN(CC)C(=O)CCCCCBr
BrBr.CCOC(=O)CC(C)=O	CCOC(=O)CC(=O)CBr
Nc1ccccc1O.O=C(Cl)CCl	O=C1COc2ccccc2N1
CI.O=C1COc2cccnc2N1	CN1C(=O)COc2cccnc21
CN1CCC(N)CC1.S=C=S	CN1CCC(N=C=S)CC1
N#CCCCBr.NCCO	CCC(C#N)NCCO
C=CC#N.CSc1ccc(N)cc1	Cc1csc(C(C)C#N)c1
CC1=CC(c2ccccc2)OCC1	CC1CCOC(c2ccccc2)C1
BrCc1ccccc1.ClCCNCCCl	ClCCN(CCCl)Cc1ccccc1
CCCBr.Cc1ccc(O)cn1	CCCOc1ccc(C)nc1
CCCCBr.Cc1ccc(O)cn1	CCCCOc1ccc(C)nc1
CCCCBr.Cc1cccc(O)n1	CCCCOc1cccc(C)n1
CC(=O)c1cccnc1.CON	CON=C(C)c1cccnc1
ON=Cc1cc(Cl)ccc1O	N#Cc1cc(Cl)ccc1O
CCc1ccc(O)cc1.CSC#N	CCc1ccc(O)c(C#N)c1
CCCCCCn1cncc1C(=O)OC	CCCCCCn1cncc1CO
COC(C[C@H]1O[C@@H]1CO)OC	COC(CCC(O)CO)OC
COC(CC=CC=O)OC	COC(CC=CCO)OC
COC(C[C@H]1O[C@@H]1CO)OC	COC(CCC(O)CO)OC
CCCCCCCCCC(=O)OCC	CCCCCCCCCCO
CC(=O)c1ccccc1	CC(O)c1ccccc1
CCCCCCC(C)=O	CCCCCCC(C)O
CN(C)C(=O)c1ccccc1	CN(C)Cc1ccccc1
CCCCCCCCCC(=O)OCC	CCCCCCCCCCO
CCCCCCCCCC(=O)OCC	CCCCCCCCCCO
CC(=O)CCc1ccccc1	CC(O)CCc1ccccc1
CC(=O)CCc1ccccc1	CC(O)CCc1ccccc1
CC(=O)CCc1ccccc1	CC(O)CCc1ccccc1
C=C.Cc1ccccc1	CCc1ccc(C)cc1
FC(C(F)(F)F)C(F)(F)F	FC(C(F)(F)F)C(F)(F)F
CCOC(=O)CBr.NC1CCCC1	CCOC(=O)CNC1CCCC1
CCOC(=O)CC1CCOCC1	O=C(O)CC1CCOCC1
O.O=C(O)Cc1ccccc1Cl	O=C(O)Cc1ccccc1O
CCCCC(Br)C(=O)OC.[F-]	CCCCC(F)C(=O)OC
N.O=C(O)C(O)c1ccccc1	N#CC(O)c1ccccc1
NC(N)=O.NCCNCCO	O=C1NCCN1CCO
C1CO1.CC(N)C(C)N	CC(N)C(C)NCCO
BrCc1ccccc1Br.C[S-]	CSCc1ccccc1Br
CCCCCl.CCCCO.O=C=O	CCCCOC(=O)OCCCC
O=C(O)c1cc2ccccc2o1	OCc1cc2ccccc2o1
CCOC(=O)C(F)C(C)CC	CCC(C)C(F)C(=O)O
CN.ClCc1cnc(Cl)s1	CNCc1cnc(Cl)s1
CN.ClCc1ccc(Cl)nc1	CNCc1ccc(Cl)nc1
CN(C)CCC(=O)c1ccccc1	CN(C)CCC(O)c1ccccc1
O=O.OCCNCCO.[OH-]	O=C(O)CNCC(=O)O
NCCN.O=C1CCCCC1	NCCNC1CCCCC1
Cc1cc(=O)cc(C)o1	CC1CC(=O)CC(C)O1
COc1ccc(C(=O)O)cc1Br	COc1ccc(CO)cc1Br
CC/C=C/C=O.CN(C)N	CC/C=C/C=NN(C)C
CN(C)N.COC/C=C/C=O	COC/C=C/C=NN(C)C
CC(O)Nc1ccccc1.CI	CC(O)N(C)c1ccccc1
BrBr.Cc1cc(Br)ccc1Br	BrCc1cc(Br)ccc1Br
CC(=O)c1ccccc1	CC(O)c1ccccc1
CC(C)C=O.CCCC=O	CCC(C=O)=CC(C)C
Br.OC(c1cccs1)C1CC1	BrCC/C=C/c1cccs1
CCCCP(=O)(CCC#N)OCC	CCCCP(=O)(CCCN)OCC
OCC#Cc1ccncc1	OCCCC1CCNCC1
CN(C)CCC(=O)c1ccccc1	CN(C)CCC(=O)c1ccccc1
CN(C)CCC(=O)c1ccccc1	CN(C)CCC(O)c1ccccc1
Cl.N#CCCC(Cl)(C=O)CCl	ClCc1ccc(Cl)nc1
CC(C)CCCC1(C)CO1	CC(=CCCC(C)C)CO
C#CC(C)(C)O.C=CCBr	C=CCC#CC(C)(C)O
CCCN(CC)C(=O)C(=O)OC	CCCN(CC)C(=O)C(=O)O
CC(C)=O.OCCC(O)CO	CC1(C)OCC(CCO)O1
CNCCBr.O=P(Cl)(Cl)Cl	CN(CCBr)P(=O)(Cl)Cl
CC(C)(C)OC(=O)CBr.CS	CSCC(=O)OC(C)(C)C
ClCCOCCOCCCl.OCCO	OCCOCCOCCOCCCl
CC(=O)CC(=O)OCCC#N.N	C/C(N)=C/C(=O)OCCC#N
CC(C)C(=O)O.Cn1cccc1	CC(C)C(=O)c1cccn1C
CC[Ga+2].C[N-]CC[N-]C	CC[Ga]1N(C)CCN1C
CCCCC(C=O)(CC)CO	CCCCC(CC)(CO)CO
O=Cc1csc(C2OCCO2)c1	OCc1csc(C2OCCO2)c1
CN.O=Cc1cccc(O)c1	CNCc1cccc(O)c1
CN.O=Cc1cccc(O)c1	CNCc1cccc(O)c1
Cc1cccc(C#CC=O)c1.NO	Cc1cccc(C#CC=NO)c1
O=Cc1ccc(-c2ccsc2)s1	OCc1ccc(-c2ccsc2)s1
OCc1cccc(C2=CCSC2)c1	OCc1cccc(C2CCSC2)c1
CCOC=O.NCCCCCCCCCCN	NCCCCCCCCCCNC=O
CCCCCC(=O)CCCCC	CCCCCC(O)CCCCC
COc1ccc(C#N)c(F)c1OC	COc1ccc(C#N)c(F)c1O
Cc1cc(N)cc(C)n1.ClCl	Cc1cc(N)c(Cl)c(C)n1
Br.OCCCCCCCCO	OCCCCCCCCBr
N#C[Cu].Nc1ccc(Br)cc1F	N#Cc1ccc(N)c(F)c1
CN(C)CCC(=O)c1ccccc1	CN(C)CCC(O)c1ccccc1
CCOC(=O)C(N)C(=O)OCC	CCOC(=O)C(N)C(=O)OCC
C=CCNCC=C.C[SiH](C)Cl	C=CCN(CC=C)[SiH](C)C
C=O.COC(=O)Cc1ccccc1	COC(=O)C(CO)c1ccccc1
N#CCCC1CCCCC1=O	C1CCC2NCCCC2C1
CC(C)=CCC/C(C)=C/CO	CC(C)=CCCC(C)=CC=O
O=Cc1ccc(O)cc1O	Cc1ccc(O)cc1O
CCOC(=O)Cc1ccncc1	CCOC(=O)CC1CCNCC1
Cc1ccc(CCl)cc1C.[C-]#N	Cc1ccc(CC#N)cc1C
N#C[S-].NC1CCCCC1	NC(=S)NC1CCCCC1
COC(=O)CCCCCCCC(=O)O	COC(=O)CCCCCCCCO
C1CCNC1.CCOC(=O)CBr	CCOC(=O)CN1CCCC1
CCCC[Mg]Br.O=Cc1ccco1	CCCCC(O)c1ccco1
CCBr.COC(=O)CC(C)=O	CCC(C(C)=O)C(=O)OC
CC(C)=CCC/C(C)=C/CO	CC(C)CCCC(C)CCO
CO.O=C=NS(=O)(=O)Cl	COC(=O)NS(=O)(=O)Cl
BrBr.Cc1ccc(B(O)O)cc1	OB(O)c1ccc(CBr)cc1
Clc1cnc2ccccc2n1.[SH-]	Sc1cnc2ccccc2n1
OCCCBr.Sc1ccncc1	OCCCSc1ccncc1
ClCCCCBr.Sc1ccncc1	ClCCCCSc1ccncc1
O=Cc1cc2ccccc2nc1I	OCc1cc2ccccc2nc1I
Nc1cc(N)c(N)cc1N	Nc1cc(N)c(N)cc1N
O=CC(=O)O.Oc1ccccc1	O=C(O)C(O)c1ccccc1O
CC(=O)C1CCCCC1=O.[OH-]	CC(=O)CCCCCC(=O)O
CCOc1ccc(C=O)cc1	CCOc1ccc(CO)cc1
CN(C)c1ccc(C=O)cc1	CN(C)c1ccc(CO)cc1
C#CCCO.Fc1ccc(Br)cc1	OCCC#Cc1ccc(F)cc1
Cc1nccc(N)c1Cl.Cl	Cc1nccc(Cl)c1Cl
C=CCBr.COc1ncccc1C=O	C=CCC(O)c1cccnc1OC
C=CCC(Cl)c1cccnc1OC	C=CCCc1cccnc1OC
CCOC(=O)NN.[N-]=C=S	CCOC(=O)NNC(N)=S
O=C(O)c1nccc2ccccc12	O=C(O)C1NCCc2ccccc21
O=C(O)CCCc1ccccc1	OCCCCc1ccccc1
CCO.O=C(O)c1cccnc1Cl	CCOC(=O)c1cccnc1Cl
CCO.Nc1cnccc1C(=O)O	CCOC(=O)c1ccncc1N
BrBr.COC(=O)c1nccnc1N	COC(=O)c1nccnc1Br
CI.Cc1cc(O)nc(S)n1	CSc1nc(C)cc(O)n1
CCCCC=O.O=C1CCCC1	CCCC/C=C1\CCCC1=O
CCCCCCCC=O.O=C1CCCC1	CCCCCCC/C=C1\CCCC1=O
CC(C)=O.O=C1CCCC1	CC(C)=C1CCCC1=O
COC(=O)C(C)OC1CCCCO1	CC(CO)OC1CCCCO1
CCCCI.COC(=O)C(C)O	CCCCOC(C)C(=O)OC
CCCCOC(C)C(=O)OC	CCCCOC(C)C(=O)O
NNc1ccc(C2CCCCC2)cc1	NNc1ccc(C2CCCCC2)cc1
CCOCCCl.OCCCO	CCOCOCCCO
C[Si](C)(C)CCCC(=O)O	C[Si](C)(C)CCCCO
Nc1ccc(C(=O)O)cc1	O=C1NC2CCC1CC2
C=O.O=C1CNC(=O)N1	O=C1CN(CO)C(=O)N1
Brc1ccc2[nH]ccc2c1.CI	Cn1ccc2cc(Br)ccc21
Brc1cccnc1.C#CCCCCO	OCCCCC#Cc1cccnc1
C1=COCCC1.OCCCBr	BrCCCOC1CCCCO1
CC1(O)CCc2ccccc21	CC1=CCc2ccccc21
CC1(O)CCCCc2ccccc21	CC1=CCCCc2ccccc21
C=CCNC(=N)c1ccccc1	C=CCNC(=N)c1ccccc1
C=CCBr.OCCNc1ccccc1	C=CCN(CCO)c1ccccc1
ClC/C=C/CC1CCCCC1.[I-]	IC/C=C/CC1CCCCC1
CCCCO.O=CCCCO	CCCCOC1CCCO1
C=CCO.O=CCCCO	C=CCOC1CCCO1
C=CCO.O=CCCCO	C=CCOC1CCCO1
CCCC1OC1C.[N-]=[N+]=[N-]	CCCCC(O)CN=[N+]=[N-]
BrCc1ccccc1Br.C[O-]	COCc1ccccc1Br
CC(O)C(=O)O.OCCCl	CC(O)C(=O)OCCCl
CC(C)(O)C(=O)O.OCCCl	CC(C)(O)C(=O)OCCCl
C1=CCCCC1.CC(=O)O	CC(=O)OC1CCCCC1
COc1ccc2c(c1)CCCC2=O	O=C1CCCc2cc(O)ccc21
C1=CCCC=CCCC=CCC1	C1=CC=CCCCCCCC=C1
COc1ccc(Br)cc1OC	Oc1ccc(Br)cc1O
COC(=O)C(Br)C(O)CBr	COC(=O)C[C@H](O)CBr
CCCC[Sn](=O)CCCC	CCCC[Sn]CCCC
CCCC[Sn](=O)CCCC	CCCC[Sn]CCCC
O=Cc1cc(Br)cc(Br)c1	OCc1cc(Br)cc(Br)c1
NO.O=C1CCc2ccccc21	ON=C1CCc2ccccc21
NCCCNCCO.S=C=S	OCCN1CCCNC1=S
BrCCBr.CCn1nn[nH]c1=O	CCn1nnn(CCBr)c1=O
N#CNC(=N)N.NC1CC1	N#CNC(=N)NC1CC1
C=C(Cl)CC1(O)CCCCC1	C#CCC1(O)CCCCC1
C=C(Cl)CCl.CCCCCCCO	C=C(Cl)CC(O)CCCCCC
C=C(Cl)CC(O)c1ccccc1	C#CCC(O)c1ccccc1
C=C(Cl)CC(O)c1ccccc1	C#CCC(O)c1ccccc1
C=C(Cl)CCl.CCCCCCC=O	C=C(Cl)CC(O)CCCCCC
C=C(Cl)CCl.O=C1CCCCC1	C=C(Cl)CC1(O)CCCCC1
CO.Ic1cncc(I)n1.O	COc1cncc(I)n1
C=CC(=O)OC.CNCC(=O)O	COC(=O)C1CCN(C)C1
CNC.Ic1cncc(I)n1	CN(C)c1cncc(I)n1
COc1ccc2c(c1)CCNC2=O	O=C1NCCc2cc(O)ccc21
CCBr.COC(=O)CC(C)=O	CCC(C(C)=O)C(=O)OC
CCCC(C(N)=O)C(=O)OCC	CCCC(C(N)=O)C(=O)O
Cl[Si]1(c2ccccc2)CCC1	c1ccc([SiH]2CCC2)cc1
Cl[Si]1(c2ccccc2)CCC1	c1ccc([SiH]2CCC2)cc1
O=C(Cl)c1cccc2nnsc12	O=Cc1cccc2nnsc12
CI.OCc1cccc2nnsc12	COCc1cccc2nnsc12
CNc1ccncc1[N+](=O)[O-]	CNc1ccncc1N
COB(OC)OC.Fc1ccccc1F	OB(O)c1cccc(F)c1F
C=COCC.OCCOCCO	C=COCCOCCO
CC1=CCC=CC1C(=O)O	Cc1ccccc1C(=O)O
COC(=O)c1ccc(C)nc1	Cc1ccc(CO)cn1
CCSc1ccc(C(=O)O)cc1	CCSc1ccc(CO)cc1
CC(C)O.O=C=Nc1ccccc1	CC(C)OC(=O)Nc1ccccc1
O=C1CC2(CO1)OCCO2	OC1CC2(CO1)OCCO2
CC1C(=O)CCCC1=O.O	CCC(=O)CCCC(=O)O
CCC(CCCC(=O)OC)OC	CCC(CCCCO)OC
CCCCCCCCO.O=C(O)CBr	CCCCCCCCOC(=O)CBr
Cc1ccc(C(=O)CCl)cc1	Cc1ccc(C(O)CCl)cc1
COC(=O)COCC(F)(F)F	O=C(O)COCC(F)(F)F
CI.Oc1cccnc1Br	COc1cccnc1Br
BrBr.Cc1ccc(O)cn1	Cc1ccc(O)c(Br)n1
BrBr.Oc1cncc2ccccc12	Oc1c(Br)ncc2ccccc12
BrBr.Oc1cnc2ccccc2c1	Oc1cc2ccccc2nc1Br
O=C(O)C1CC2C=CC1C2	O=C(O)C1CC2CCC1C2
O=C(O)C1CC2C=CC1C2	O=C(O)C1CC2CCC1C2
CCOC(=O)C(C)CSC(C)=O	CCOC(=O)C(C)CS
CCCC(C)=O.O=CC(=O)O	CCCC(=O)C=CC(=O)O
CCOC(=O)CS.NC1CCCCC1	O=C(CS)NC1CCCCC1
BrBr.N#Cc1ccc(Cl)cc1O	N#Cc1cc(Br)c(Cl)cc1O
O=C(C1CSCCN1)N1CCCC1	C1CCN(CC2CSCCN2)C1
CCOC(=O)C1(C#N)CCCC1	CCOC(=O)C1(CN)CCCC1
C=C(C)/C=C/CC(=O)OCC	C=C(C)/C=C/CC(=O)O
O=Cc1cccc(Br)c1	OCc1cccc(Br)c1
C=CC=CCBr.CCCC[Mg]Br	C=CC(=C)CCCCC
Cc1cc(C)cc(N)c1.Cl	Cc1cc(C)cc(Cl)c1
C=O.CCC[PH](=O)CCC	CCCP(=O)(CO)CCC
Brc1ccsc1.CCCCCCBr	CCCCCCc1ccsc1
CC1=CC(=O)C=C(C)C1=O	Cc1cc(O)cc(C)c1O
Cc1cccc(N)c1N.O=CO	Cc1cccc2[nH]cnc12
BrBr.CC(=O)C1CCCCCC1	O=C(CBr)C1CCCCCC1
BrBr.CC(=O)C1CCCCCCC1	O=C(CBr)C1CCCCCCC1
CC(C)c1csc(CO)n1.II	CC(C)c1csc(CI)n1
O=C(O)C=Cc1ccc(O)cc1	C=Cc1ccc(O)cc1
C=Cc1ccc(C=C)cc1	C=Cc1ccc(C=C)cc1
CC(C)=CCC/C(C)=C/CO	CC(C)=CCC[C@@H](C)CCO
O=C1NC(=O)c2ccccc21	NC1Cc2ccccc21
CCOC(=O)CC(C)=O	CCOC(=O)CC(C)O
COC(=O)C[C@H](O)CBr.[I-]	COC(=O)C[C@H](O)CI
CCCCCCCCO.OCC1CO1	CCCCCCCCOC(CO)CO
CCCC[C@@H](F)CC(=O)OC	CCCCC(F)CC(=O)O
BrCc1ccccc1.CNN	CN(N)Cc1ccccc1
C=CC(=O)O.CNc1ccccc1	CN(CCC(=O)O)c1ccccc1
Clc1sccc1Br.O=C=O	O=C(O)c1ccsc1Cl
NN.O=C=Nc1ccc(Cl)cc1	NNC(=O)Nc1ccc(Cl)cc1
CC(CBr)C(=O)O.N#C[S-]	CC(CSC#N)C(=O)O
CCC(C)CC(C)C(=O)O.CO	CCC(C)CC(C)C(=O)OC
CO.O=C(O)c1cccc(I)c1	COC(=O)c1cccc(I)c1
CCC(=O)CC(=O)OC.N=CN	CCc1cc(=O)[nH]cn1
CCC1NC(Cl)=NC(Cl)=C1F	CCc1nc(Cl)nc(Cl)c1F
CCc1nc(Cl)[nH]c(=O)c1F	CCc1nc[nH]c(=O)c1F
CCc1nc(Cl)nc(Cl)c1F	CCc1ncncc1F
C=CCCC=C.C[SiH](C)Cl	CCCCC=C[Si](C)(C)Cl
CCOC(=O)CCC(F)(F)F	O=C(O)CCC(F)(F)F
CC(C)(C)Br.c1cc[cH-]c1	CC(C)(C)C1C=CC=C1
Cc1ccnc(C)c1N.O=C=O	Cc1ccnc(C)c1O
COc1ccc(C(=O)O)cc1Br	COc1ccc(CO)cc1Br
C=CCN(CC=C)[SiH](C)C	CC=CN1CCC[Si]1(C)C
